car_ID,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,cylindernumber,enginesize,fuelsystem,horsepower,price
1,alfa-romero giulia,gas,std,two,convertible,rwd,front,four,130,mpfi,111,13495
2,alfa-romero stelvio,gas,std,two,convertible,rwd,front,four,130,mpfi,111,16500
3,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,six,152,mpfi,154,16500
4,audi 100 ls,gas,std,four,sedan,fwd,front,four,109,mpfi,102,13950
5,audi 100ls,gas,std,four,sedan,4wd,front,five,136,mpfi,115,17450
6,audi fox,gas,std,two,sedan,fwd,front,five,136,mpfi,110,15250
7,audi 100ls,gas,std,four,sedan,fwd,front,five,136,mpfi,110,17710
8,audi 5000,gas,std,four,wagon,fwd,front,five,136,mpfi,110,18920
9,audi 4000,gas,turbo,four,sedan,fwd,front,five,131,mpfi,140,23875
10,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,five,131,mpfi,160,17859.167
11,bmw 320i,gas,std,two,sedan,rwd,front,four,108,mpfi,101,16430
12,bmw 320i,gas,std,four,sedan,rwd,front,four,108,mpfi,101,16925
13,bmw x1,gas,std,two,sedan,rwd,front,six,164,mpfi,121,20970
14,bmw x3,gas,std,four,sedan,rwd,front,six,164,mpfi,121,21105
15,bmw z4,gas,std,four,sedan,rwd,front,six,164,mpfi,121,24565
16,bmw x4,gas,std,four,sedan,rwd,front,six,209,mpfi,182,30760
17,bmw x5,gas,std,two,sedan,rwd,front,six,209,mpfi,182,41315
18,bmw x3,gas,std,four,sedan,rwd,front,six,209,mpfi,182,36880
19,chevrolet impala,gas,std,two,hatchback,fwd,front,three,61,2bbl,48,5151
20,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,four,90,2bbl,70,6295
21,chevrolet vega 2300,gas,std,four,sedan,fwd,front,four,90,2bbl,70,6575
22,dodge rampage,gas,std,two,hatchback,fwd,front,four,90,2bbl,68,5572
23,dodge challenger se,gas,std,two,hatchback,fwd,front,four,90,2bbl,68,6377
24,dodge d200,gas,turbo,two,hatchback,fwd,front,four,98,mpfi,102,7957
25,dodge monaco (sw),gas,std,four,hatchback,fwd,front,four,90,2bbl,68,6229
26,dodge colt hardtop,gas,std,four,sedan,fwd,front,four,90,2bbl,68,6692
27,dodge colt (sw),gas,std,four,sedan,fwd,front,four,90,2bbl,68,7609
28,dodge coronet custom,gas,turbo,two,sedan,fwd,front,four,98,mpfi,102,8558
29,dodge dart custom,gas,std,four,wagon,fwd,front,four,122,2bbl,88,8921
30,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,four,156,mfi,145,12964
31,honda civic,gas,std,two,hatchback,fwd,front,four,92,1bbl,58,6479
32,honda civic cvcc,gas,std,two,hatchback,fwd,front,four,92,1bbl,76,6855
33,honda civic,gas,std,two,hatchback,fwd,front,four,79,1bbl,60,5399
34,honda accord cvcc,gas,std,two,hatchback,fwd,front,four,92,1bbl,76,6529
35,honda civic cvcc,gas,std,two,hatchback,fwd,front,four,92,1bbl,76,7129
36,honda accord lx,gas,std,four,sedan,fwd,front,four,92,1bbl,76,7295
37,honda civic 1500 gl,gas,std,four,wagon,fwd,front,four,92,1bbl,76,7295
38,honda accord,gas,std,two,hatchback,fwd,front,four,110,1bbl,86,7895
39,honda civic 1300,gas,std,two,hatchback,fwd,front,four,110,1bbl,86,9095
40,honda prelude,gas,std,four,sedan,fwd,front,four,110,1bbl,86,8845
41,honda accord,gas,std,four,sedan,fwd,front,four,110,1bbl,86,10295
42,honda civic,gas,std,four,sedan,fwd,front,four,110,mpfi,101,12945
43,honda civic (auto),gas,std,two,sedan,fwd,front,four,110,2bbl,100,10345
44,isuzu MU-X,gas,std,four,sedan,rwd,front,four,111,2bbl,78,6785
45,isuzu D-Max ,gas,std,two,sedan,fwd,front,four,90,2bbl,70,8916.5
46,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,four,90,2bbl,70,8916.5
47,isuzu D-Max ,gas,std,two,hatchback,rwd,front,four,119,spfi,90,11048
48,jaguar xj,gas,std,four,sedan,rwd,front,six,258,mpfi,176,32250
49,jaguar xf,gas,std,four,sedan,rwd,front,six,258,mpfi,176,35550
50,jaguar xk,gas,std,two,sedan,rwd,front,twelve,326,mpfi,262,36000
51,maxda rx3,gas,std,two,hatchback,fwd,front,four,91,2bbl,68,5195
52,maxda glc deluxe,gas,std,two,hatchback,fwd,front,four,91,2bbl,68,6095
53,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,four,91,2bbl,68,6795
54,mazda rx-4,gas,std,four,sedan,fwd,front,four,91,2bbl,68,6695
55,mazda glc deluxe,gas,std,four,sedan,fwd,front,four,91,2bbl,68,7395
56,mazda 626,gas,std,two,hatchback,rwd,front,two,70,4bbl,101,10945
57,mazda glc,gas,std,two,hatchback,rwd,front,two,70,4bbl,101,11845
58,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,two,70,4bbl,101,13645
59,mazda glc 4,gas,std,two,hatchback,rwd,front,two,80,mpfi,135,15645
60,mazda 626,gas,std,two,hatchback,fwd,front,four,122,2bbl,84,8845
61,mazda glc custom l,gas,std,four,sedan,fwd,front,four,122,2bbl,84,8495
62,mazda glc custom,gas,std,two,hatchback,fwd,front,four,122,2bbl,84,10595
63,mazda rx-4,gas,std,four,sedan,fwd,front,four,122,2bbl,84,10245
64,mazda glc deluxe,diesel,std,four,sedan,fwd,front,four,122,idi,64,10795
65,mazda 626,gas,std,four,hatchback,fwd,front,four,122,2bbl,84,11245
66,mazda glc,gas,std,four,sedan,rwd,front,four,140,mpfi,120,18280
67,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,four,134,idi,72,18344
68,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,five,183,idi,123,25552
69,buick century luxus (sw),diesel,turbo,four,wagon,rwd,front,five,183,idi,123,28248
70,buick century,diesel,turbo,two,hardtop,rwd,front,five,183,idi,123,28176
71,buick skyhawk,diesel,turbo,four,sedan,rwd,front,five,183,idi,123,31600
72,buick opel isuzu deluxe,gas,std,four,sedan,rwd,front,eight,234,mpfi,155,34184
73,buick skylark,gas,std,two,convertible,rwd,front,eight,234,mpfi,155,35056
74,buick century special,gas,std,four,sedan,rwd,front,eight,308,mpfi,184,40960
75,buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,front,eight,304,mpfi,184,45400
76,mercury cougar,gas,turbo,two,hatchback,rwd,front,four,140,mpfi,175,16503
77,mitsubishi mirage,gas,std,two,hatchback,fwd,front,four,92,2bbl,68,5389
78,mitsubishi lancer,gas,std,two,hatchback,fwd,front,four,92,2bbl,68,6189
79,mitsubishi outlander,gas,std,two,hatchback,fwd,front,four,92,2bbl,68,6669
80,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,four,98,spdi,102,7689
81,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,four,110,spdi,116,9959
82,mitsubishi g4,gas,std,two,hatchback,fwd,front,four,122,2bbl,88,8499
